id,name,department,salary
13211,Samantha Brown,Operations,122976.49
13212,Molly Gregory,Sales,147515.71
13213,Jenny Anderson,Sales,131281.73
13214,Pamela Mejia,Finance,100356.86
13215,Joshua Smith,Research,41386.65
13216,Kenneth Wade,Operations,85948.24
13217,Alexander Wright,Marketing,149931.15
13218,Dr. Robert Miller,Operations,49512.28
13219,Brandon Ramos,Finance,145001.16
13220,Daniel Smith,Research,146154.44
13221,Robert Lozano,HR,59746.72
13222,Larry Soto,IT,31936.19
13223,Christina Palmer,Finance,84337.94
13224,Kelsey Smith,Marketing,70350.42
13225,Michael Jarvis,Sales,31758.31
13226,Jimmy Espinoza,Finance,60133.40
13227,Samuel Chaney,Sales,89511.51
13228,Dawn Taylor,Support,111137.64
13229,Russell Bell,Finance,122285.60
13230,Julia Sanders,Finance,99405.12
13231,Samantha Gilbert,Support,75467.77
13232,Anthony Humphrey,HR,148101.95
13233,Samuel Chan,Sales,122386.03
13234,Tim Miller,Sales,64966.01
13235,Amanda Wade,Research,54872.42
13236,Mary Boyd,Research,93178.51
13237,Melanie Stone,HR,137213.05
13238,Sarah Baker MD,Marketing,45474.17
13239,Megan Sanders,Research,77158.13
13240,Ralph Jacobs,Research,46951.97
13241,Miranda Martin,Operations,94286.35
13242,Jason Green,Operations,73026.48
13243,Michelle Wiggins,Marketing,48741.30
13244,Courtney Thompson,Research,140605.49
13245,Brady Smith,Sales,45430.68
13246,Leonard Carney,IT,88702.15
13247,Mr. Nicholas Griffin,Research,146534.47
13248,Angela Watson,Operations,132741.41
13249,Jamie Fisher,Support,119280.02
13250,Martha Hernandez,IT,51451.48
13251,Mark Knight,HR,118016.80
13252,Janice Pratt,Support,41135.86
13253,Jeffrey Lozano,Finance,115060.05
13254,Kirsten Price,Research,64599.03
13255,Taylor Kennedy,Marketing,80184.22
13256,Jennifer Johnson,IT,46483.16
13257,Kelli Diaz,Research,59154.04
13258,Steven Lam,Research,49989.38
13259,Thomas Lee,Operations,136011.50
13260,Michelle Daniel,Marketing,127897.97
13261,Katie Henderson,Sales,131272.41
13262,Joseph Silva,Sales,30071.37
13263,Michael Walters,IT,70508.99
13264,Dana Dillon,IT,49036.73
13265,Shawna Keith,HR,30996.67
13266,Jacqueline Ballard,IT,34814.91
13267,Keith Williams,Finance,110284.48
13268,Olivia Hill,Marketing,143008.28
13269,Angela Adams,Research,140763.19
13270,Brooke Allen,Sales,116421.34
13271,Walter Russell,Sales,140636.81
13272,Thomas Mcbride,Sales,39088.70
13273,Stephanie Arnold,Finance,42923.97
13274,Jill Macdonald,Support,53377.35
13275,John Yates,Research,102353.09
13276,Erica Brooks,Support,106380.09
13277,James Young,Finance,37513.37
13278,Brittney Perez,Support,82294.16
13279,Kathleen Figueroa,Sales,91908.82
13280,Robin Watkins,HR,54982.31
13281,Nicholas Green,Marketing,91692.67
13282,Thomas Moore,Marketing,142521.01
13283,Ellen Taylor,Sales,58669.61
13284,Jessica Reynolds,Operations,40884.28
13285,Vincent Thompson,Sales,87598.12
13286,Tabitha Michael,IT,61359.35
13287,Matthew Owens,IT,75037.36
13288,Melanie Jordan,Research,45149.01
13289,Carol Terry,Marketing,56520.71
13290,Shannon Howard,IT,48307.59
13291,Maureen Williams,IT,88889.83
13292,Gordon Burnett,HR,37145.84
13293,Tracy Torres,Sales,108642.19
13294,Shelby Wright,Operations,92902.62
13295,George Stanley,Finance,33144.40
13296,Angela Lopez,Research,116713.26
13297,Ashley Ellison,Sales,86707.83
13298,Brian Morris,Marketing,107668.57
13299,Madeline Myers,Research,128500.45
13300,Christopher Jimenez,Operations,120190.76
13301,Gary Larsen,Research,136258.58
13302,Ellen Carpenter,Marketing,73745.92
13303,Gina Stewart,IT,88498.63
13304,Kimberly Hughes,Support,38572.81
13305,Matthew Taylor,Operations,75564.74
13306,Julie Rasmussen,IT,64648.49
13307,Sarah Johnson,HR,99367.51
13308,Luke Johnson,Operations,79295.58
13309,Erin Berry,Research,45083.13
13310,Ashley Poole,Finance,41390.45
13311,Madeline Hoover MD,Support,113980.20
13312,Rebecca Hawkins,Research,113441.21
13313,Michelle Harris,Sales,148432.31
13314,Kathy Edwards,Research,108810.92
13315,Albert Knapp,Research,126553.71
13316,Steven Perry,Sales,60575.16
13317,Albert Watson,IT,129956.33
13318,Kelly Crane,HR,122924.34
13319,Chad Martinez,Support,85908.72
13320,Robert Rodriguez,HR,70842.87
13321,Grace Kelly,Operations,131094.37
13322,Amanda Mcguire,Finance,75044.17
13323,Christopher Briggs,Operations,38996.95
13324,Angela Collins,HR,73635.38
13325,Kenneth Curtis,Marketing,85805.17
13326,Raymond Howell,Sales,129932.36
13327,Robert Howard,Marketing,100797.26
13328,Emily Henderson,Operations,147919.61
13329,Samantha Jarvis,Operations,47469.08
13330,Daniel Fox,Sales,31145.72
13331,Jeffery Williams,IT,36990.38
13332,Lisa Davis,Operations,41797.19
13333,Peter Davis,Sales,46122.16
13334,Garrett Garcia,Operations,117935.11
13335,Kimberly Meyers,IT,54095.16
13336,Jacqueline Williams,Marketing,42755.80
13337,Eric Morris,IT,145914.06
13338,Derek Lewis,Marketing,137140.67
13339,Thomas Cooper,Sales,80980.25
13340,Lauren Cross,Sales,57252.77
13341,Elizabeth Kim,Research,105483.14
13342,Randall Cervantes,HR,63144.39
13343,David Lin,IT,144696.63
13344,Robert Mcbride,Marketing,61044.28
13345,Tammy Davis,HR,129836.69
13346,Noah Cooke,Research,94770.34
13347,Ann Edwards,Sales,78095.94
13348,Paul Hawkins,Support,141404.03
13349,Amber Miller,Sales,54004.36
13350,Allison Best,Research,109829.06
13351,Caleb Hughes,Sales,106911.40
13352,Lori Dennis,Research,104057.48
13353,Tara Hall,Finance,149227.04
13354,Maria Torres,Sales,90774.84
13355,Daniel Ramirez DDS,Sales,147741.89
13356,Donna Smith,Sales,63491.63
13357,William Stuart,Marketing,130050.31
13358,Rebecca Jackson MD,Operations,95488.41
13359,John Ward,IT,58744.12
13360,Andrew Day,Support,149662.25
13361,Lauren Smith,Finance,76989.54
13362,Joshua Ramirez,IT,136907.29
13363,Adriana Cruz,Finance,129413.90
13364,Stacy Gomez,IT,145564.71
13365,Brent Parker,HR,139388.12
13366,Dennis Watson,Support,62444.70
13367,Anthony Arnold,Research,36864.62
13368,Raven Gomez,Finance,114996.34
13369,Elizabeth Jones,Sales,100581.03
13370,Jennifer Hernandez,Operations,148834.57
13371,Lisa Forbes,HR,88618.59
13372,Jason Madden,Research,113269.03
13373,Ashley Sheppard,HR,109658.05
13374,Daniel Parks,Research,130221.11
13375,Scott Morales,Marketing,110027.40
13376,Kevin Martin,IT,112277.66
13377,Amber Rodriguez,Research,148765.38
13378,Melissa Silva,Support,102871.09
13379,Emily Hayes,Support,117676.30
13380,Shelby Smith,Marketing,132969.30
13381,Linda Allen,IT,114227.75
13382,Jenny Jones,IT,110601.71
13383,Andrew Lee,Sales,81837.10
13384,Brian Cortez,Marketing,120428.90
13385,David Hall,Operations,141310.87
13386,Michael Campbell,Finance,50527.32
13387,David Woods,Sales,91812.63
13388,Elizabeth Gallagher,Marketing,149619.98
13389,Jonathan Estrada,IT,125985.38
13390,Lisa Dillon,Finance,98649.18
13391,Kathleen Wells,Marketing,143647.96
13392,Felicia Savage,Research,80711.34
13393,Zachary Jones,Support,141402.57
13394,Brian Webb,Research,118556.92
13395,Alexandra Lewis,Support,138618.65
13396,Heather Gordon,HR,91693.73
13397,Todd Cole,HR,66527.27
13398,Crystal Perez,IT,83222.86
13399,Lisa Williams,HR,75749.99
13400,Regina Butler,Support,101701.09
13401,Alicia Francis,Research,82512.65
13402,Alicia Terry,HR,61413.21
13403,Pamela Myers,Marketing,56372.83
13404,Erica Payne,HR,110766.61
13405,Stephanie Campbell,Marketing,100160.37
13406,Matthew Mendoza,HR,58800.45
13407,Connie Vincent,HR,75991.70
13408,Allison Rojas DDS,Sales,116946.78
13409,Stephanie Powell,Support,38361.84
13410,Monique Duncan,Operations,64588.16
13411,Tiffany Schneider,Sales,149843.64
13412,Christopher Harvey,Support,132970.14
13413,John Ortiz,Operations,139161.52
13414,Tammy Evans,Research,115595.91
13415,James Castro,Finance,90815.87
13416,Vanessa Fowler,Support,96297.53
13417,Yolanda Hall,Research,47383.99
13418,Mark Cooley,Marketing,93450.83
13419,Cynthia Burch DVM,Marketing,72717.77
13420,Charles Walker,IT,143519.23
13421,Patricia Thomas,Marketing,62730.16
13422,Joseph Davis,HR,46340.83
13423,Melissa Hernandez,Support,100457.70
13424,Jacob Black,Operations,136169.05
13425,Henry Knapp,IT,33923.63
13426,John Stone,Sales,132758.61
13427,Brittney Cortez,Operations,89309.36
13428,Jennifer Barnes,Finance,80315.85
13429,Courtney Caldwell,Research,111118.70
13430,Janet Hoffman,IT,132644.77
13431,Matthew Murphy,IT,140482.72
13432,Jeremy Adams,HR,92696.93
13433,Elizabeth Rios,Marketing,76090.04
13434,Gary Potter,Finance,41964.73
13435,Rebecca Vang,Research,115096.97
13436,Stephanie Ramirez,Marketing,53418.99
13437,Brandy Davis,IT,32770.69
13438,Jennifer Thomas,Support,49000.02
13439,Alexis Miller,Sales,108280.57
13440,Natalie Avila,Finance,31521.10
13441,Jacob White,Sales,129420.82
13442,Curtis Lee,Sales,98927.39
13443,Jeremy Marshall,Research,76749.36
13444,Seth Jones,Operations,129279.81
13445,Nicole Mcdaniel,Support,114576.75
13446,Ronald Smith,HR,92271.74
13447,Mary Harper,Research,57044.97
13448,John Jones,Finance,35994.13
13449,Carl Harris,Finance,54208.43
13450,Sherri Eaton,Marketing,145121.12
13451,Brent Summers,HR,63258.52
13452,Terri Brooks,Operations,118983.22
13453,Stephen Lawrence,Finance,134700.21
13454,Nathan Lopez,Sales,81449.04
13455,Charles Lowe,Support,117360.03
13456,Joseph Graham,Research,139150.03
13457,Benjamin Rivera,Marketing,87631.38
13458,Bridget Murphy,Support,130625.59
13459,Dana Ramirez,Finance,44751.36
13460,Mark Kirk,IT,139244.58
13461,Richard Love,HR,58083.30
13462,Matthew Clark,HR,70775.67
13463,Kari Lewis,IT,101621.55
13464,Scott Walker,Operations,39042.76
13465,Jerry Gilmore,Support,149087.02
13466,Brent Nichols,HR,111330.52
13467,Stephanie Smith,IT,94490.91
13468,Danny Chavez,Sales,119088.54
13469,Miranda Keller,Finance,72771.00
13470,Adam Blanchard,Support,64656.89
13471,Matthew Young,Research,84003.56
13472,Gail Davidson,Operations,135777.50
13473,Elizabeth Rhodes,Research,92505.86
13474,Daniel Wu,Finance,137570.30
13475,Christopher Hamilton,Research,70647.24
13476,Eduardo Gill,HR,99683.87
13477,Anthony Smith,Finance,66586.04
13478,Sandra Vasquez,IT,143518.36
13479,Daniel White,Operations,77726.38
13480,Steven Smith,Operations,123645.24
13481,Amber Cohen,IT,106698.49
13482,Danielle Delgado,Finance,38336.00
13483,Courtney Lee,Research,46213.79
13484,Beth Spencer,Support,87202.68
13485,Adriana Bass,Finance,37336.36
13486,David Pena,HR,80601.37
13487,Randy Hull,Research,127308.61
13488,Kristy Butler,Marketing,141224.67
13489,Peggy White,Sales,43116.02
13490,Jessica Tucker,Marketing,90011.75
13491,Heather Reed,Finance,88175.85
13492,Jose Williams,Research,135746.52
13493,Mr. Jordan Grimes,Sales,126086.10
13494,Kristopher Moore,Research,80854.10
13495,Charles Edwards,Finance,116887.01
13496,Elizabeth Wilson,Marketing,40667.87
13497,Cheryl Harris,Sales,46061.94
13498,Danielle Smith,IT,108270.17
13499,Robert Townsend,Research,111385.51
13500,Maxwell Williams,Support,144048.79
13501,Lori Townsend,Finance,53331.98
13502,Larry Wilson,Research,61445.18
13503,Janet Estrada,Research,80482.55
13504,Jeffrey Fisher,Marketing,123886.14
13505,Jessica Hale,Finance,86130.47
13506,Matthew Chen,Sales,96679.71
13507,Ashley Munoz,Research,85169.32
13508,Mary Holmes,Support,130841.84
13509,Marcus Randolph,Support,99857.51
13510,Aimee Walker,Research,86109.97
13511,James Taylor,Research,101553.84
13512,Robert Hensley,Operations,65817.93
13513,Peggy Hernandez,Support,122034.70
13514,Miss Jamie Kramer,Operations,137687.22
13515,Ricardo Caldwell,Operations,117398.92
13516,Thomas Mills,Marketing,125424.43
13517,Kevin Nguyen,Research,49898.53
13518,Lisa Porter,Marketing,93151.84
13519,Anna Hodge,IT,137242.24
13520,Jennifer Fisher,HR,107782.26
13521,Katherine Carpenter,Operations,135891.32
13522,Mark Watson,Operations,135226.72
13523,Theresa Jones,Operations,59114.57
13524,Lauren Farmer,Finance,145476.80
13525,Yolanda Morrison,Marketing,121889.72
13526,Julia Williams,Operations,100485.60
13527,Michael Williams,Finance,82019.52
13528,Darlene Oneal,HR,135590.44
13529,Stephen Hernandez,Marketing,115730.86
13530,Jessica Campos,Marketing,59939.67
13531,Jacqueline Mitchell,Sales,143188.26
13532,Kimberly Coleman,Marketing,103003.53
13533,Carolyn Mullins,HR,149206.93
13534,Amber Cortez,Marketing,59252.03
13535,Sarah Ruiz,Research,111175.83
13536,Jacqueline Rogers,Operations,144772.67
13537,Stacy Rivera,Marketing,79448.94
13538,Charlene Williams,IT,79348.23
13539,Kevin Page,IT,34949.18
13540,David Garcia,Marketing,119892.77
13541,Deborah Gonzales,IT,136784.85
13542,Shannon Bridges,Research,42077.70
13543,Justin Boyd,Finance,61221.53
13544,Christopher Cortez,Sales,82849.20
13545,Keith Bolton,Finance,120029.70
13546,Victor Wilson,Operations,37440.54
13547,Megan Kane,Research,148200.78
13548,Emily Moore,HR,98123.97
13549,Kim Williams,Research,142031.05
13550,Christina Jones,Sales,96511.90
13551,David Sims,Operations,68783.40
13552,Kyle Bowen,Research,44993.64
13553,Gabrielle David,IT,104133.19
13554,Maria Saunders,Marketing,100438.11
13555,James Smith,Operations,76343.87
13556,Miss Hannah Williams,HR,77418.45
13557,Lisa Kaiser,Sales,145209.89
13558,Madison Wright,Marketing,128614.58
13559,Troy Hogan,IT,93920.34
13560,Emily Bauer,Sales,69197.76
13561,Elizabeth Gardner,Operations,32327.53
13562,Paul Hernandez,Research,66416.12
13563,Logan Odonnell,Support,115857.24
13564,Mark Andersen,Finance,60577.58
13565,Andrea Hall,HR,39731.78
13566,Meghan Boyer,Marketing,99300.36
13567,Catherine Chan,Marketing,103117.97
13568,Thomas Lee,Sales,128609.54
13569,Mary Brown,Sales,132104.17
13570,Laura Sanchez DVM,Finance,95505.35
13571,Robert Castillo,Operations,149622.43
13572,Jessica Crosby,Research,85926.59
13573,Mark Turner,HR,52760.32
13574,Kimberly Shaw,Sales,34780.98
13575,Arthur Mitchell,Operations,51629.13
13576,Matthew Miller,Marketing,45475.91
13577,Erica Kim,Operations,49930.16
13578,Renee Hill,Sales,86869.58
13579,Regina Graham,Operations,129451.16
13580,Paula Hernandez,Operations,69827.72
13581,Aaron Marks DDS,Operations,77758.82
13582,Mark Griffith,Operations,50482.44
13583,Leonard Simon,Support,62798.88
13584,Steven Crawford,Support,32923.97
13585,Christie Brown,IT,70900.62
13586,Richard Bonilla,Marketing,78738.57
13587,Mr. Aaron Patel,Research,34311.67
13588,Christopher Davis,IT,44556.51
13589,Mr. David Trevino DDS,Support,36064.54
13590,William York,Research,120524.14
13591,Robert Smith,Sales,140180.09
13592,Timothy White,Support,76471.52
13593,Thomas Bautista,HR,74301.34
13594,Jason West,Research,113900.83
13595,Ann Fox,Sales,76855.94
13596,Daniel Duncan,HR,37644.59
13597,Raymond Williams,Support,103638.02
13598,Joshua Perez,Support,125691.15
13599,Phillip Salazar,Support,143655.32
13600,Janice Williams,Support,73557.82
13601,Elizabeth Li,Finance,82020.06
13602,Sara Mccoy,HR,94654.07
13603,Courtney Newman,Operations,120053.81
13604,Timothy Phillips,Operations,132315.38
13605,Richard Hurley,Sales,67770.99
13606,Sara Thomas,IT,114080.73
13607,Scott Walters MD,Support,44218.64
13608,Christina Nguyen,Finance,116438.77
13609,Mark Smith,Operations,123068.43
13610,Amy Garcia,Finance,53295.10
13611,Richard Jenkins,Support,104036.35
13612,Patrick Miller,Marketing,94453.07
13613,William Stokes,Marketing,114122.26
13614,Jonathan Mejia,HR,138041.00
13615,Taylor Callahan,Finance,143965.51
13616,Julie Figueroa,Support,113483.78
13617,Paula Mcclain,Research,111321.21
13618,Sara Russell,Operations,95586.62
13619,Justin Anderson,Marketing,58607.07
13620,Christopher Miller,IT,57061.21
13621,Brian Ford,Support,127304.13
13622,Molly Casey,Sales,41035.92
13623,Matthew Casey,Finance,63912.27
13624,Alexandria Giles,Sales,92680.43
13625,Lisa Lowe,Marketing,114513.86
13626,Erica Miller,Support,31920.27
13627,Mark Douglas,Operations,57044.82
13628,Alexander Morris,Operations,35283.62
13629,David Fletcher,Marketing,120177.43
13630,Matthew Mitchell,HR,114576.65
13631,Katherine Mills,Research,66703.00
13632,Kathryn Lam,Marketing,63052.04
13633,Matthew Glass,Research,75348.72
13634,Whitney Bishop,Marketing,97495.41
13635,Matthew Johnson,Sales,142002.19
13636,Bryce Wilson,Finance,79564.55
13637,James Barron,Support,145427.89
13638,Willie Sellers,Research,50833.91
13639,Gregory Hernandez,Finance,108374.83
13640,Jennifer Meyers,IT,56429.01
13641,Jesse Collier,Support,64422.72
13642,Mr. Henry Richardson Jr.,Operations,60909.96
13643,Justin Ball,Support,67972.18
13644,Karen Foster,Support,119205.88
13645,Shannon Garrison,Marketing,89219.94
13646,Brenda Hunter,Operations,104189.61
13647,Johnny Wood,Finance,138709.90
13648,Monique Wright,Finance,141664.38
13649,Lisa Reynolds,Marketing,55852.33
13650,Steven Robinson,Research,115473.30
13651,Kimberly Blair,Marketing,148679.94
13652,Patricia Doyle,Operations,126873.66
13653,Tara Stewart,HR,82061.45
13654,Jose Henry,Operations,68768.72
13655,Jason Mcintyre,Support,113353.92
13656,Matthew Hughes,Support,63051.73
13657,Julie Davidson,Finance,89187.28
13658,Olivia Gray,Research,72347.80
13659,Jonathan Hoffman,IT,71978.44
13660,Dylan Schmitt,Finance,118099.29
13661,Austin Mann,Research,142839.65
13662,Michelle Jackson,Research,147844.71
13663,Kristin Miller,Operations,115001.30
13664,Francisco Russo,Finance,76283.91
13665,Christopher Atkinson,IT,103512.19
13666,Christopher Bridges,Operations,114208.08
13667,Grace Gray,Research,86483.28
13668,David Donaldson,Marketing,67534.69
13669,Jessica Donovan,IT,34286.96
13670,Gregory Hodge,Research,38423.22
13671,Christine Hudson,HR,124283.27
13672,Daniel Galloway,Sales,106868.52
13673,Mario Williams,Sales,76967.15
13674,Sarah Ray,HR,95806.79
13675,Nicole Golden,Finance,94722.64
13676,Melinda Avery,Support,34649.24
13677,Melissa Peterson DDS,Finance,98231.83
13678,Jessica Taylor,Sales,125927.55
13679,Donna Berry,Support,44690.03
13680,Kelly Sawyer,Support,45698.88
13681,Austin Collins,Finance,107235.19
13682,Tara Cohen,Research,134955.10
13683,Clinton Bowman,Support,82737.33
13684,Pedro Gibbs,IT,134050.91
13685,Rebecca Griffith,Marketing,141695.64
13686,Lacey Thomas,Sales,46467.48
13687,Michael Martin,Research,72533.45
13688,Nichole Thompson,Operations,81536.15
13689,Karla Swanson,Research,108882.73
13690,Debbie Hill,Marketing,69409.81
13691,Donald Finley,Finance,140721.64
13692,Danny Davis,Sales,141614.14
13693,Cheryl Harper DDS,Support,106800.80
13694,Justin Sullivan,Support,147779.59
13695,Alfred Hartman,IT,95828.56
13696,Diane Hopkins,IT,107108.37
13697,Thomas Adams,Sales,66912.48
13698,Alexander Jones,IT,50318.02
13699,Kelly Peterson,Sales,146323.85
13700,Daniel Hernandez,Sales,62218.54
13701,Charles Gonzalez,Sales,78937.06
13702,Joshua Wade,HR,149707.13
13703,Amy Schmidt,Research,35823.89
13704,Brooke Patton,HR,110530.05
13705,Daniel Nunez,HR,73376.19
13706,Rebecca Christensen,Operations,135236.30
13707,Debra Walters,Research,68895.68
13708,Marvin Miller,Research,90818.60
13709,Zachary Howard,Sales,87482.86
13710,William Caldwell,IT,119674.11
13711,Laura Yoder,Marketing,85011.41
13712,Kenneth Mooney,IT,118894.23
13713,Paul Wiley,Finance,75238.87
13714,Curtis Smith,Marketing,122915.52
13715,Daniel Rivera,HR,121279.99
13716,Ryan Martinez,IT,129695.69
13717,Lisa Mcguire,HR,79222.54
13718,Shannon Knight,Support,114454.64
13719,Mary Campbell,Research,50788.55
13720,John Medina,Finance,55603.05
13721,Jose Rodriguez,IT,113452.13
13722,Selena Woodard,Marketing,37687.61
13723,Shannon Holland,Sales,43866.36
13724,Daniel Roth,Marketing,31883.76
13725,Mrs. Laura Stewart,Sales,40349.13
13726,Derek Smith,HR,49713.37
13727,Breanna Martin,Sales,72199.23
13728,Dean Herrera,HR,71868.50
13729,Karen Roth,HR,80130.27
13730,Eric Mendez,Sales,97127.38
13731,Tonya Rodriguez,Finance,80313.46
13732,Catherine Hunter,Research,48022.47
13733,Daniel Olsen,Research,89809.94
13734,Nicole Holden,HR,78563.45
13735,Patrick Jones,Sales,56327.94
13736,Kara Long,Sales,62783.63
13737,Gavin Evans,Operations,114429.05
13738,Eric Walker,Research,144217.04
13739,Connie Hoffman,IT,113583.82
13740,John Smith,Research,146124.38
13741,Heidi Mathis,Finance,107431.21
13742,Luis Griffin,Operations,124566.22
13743,Scott Munoz,HR,44849.02
13744,Patrick Juarez,Finance,87844.81
13745,Sandra Hall,HR,74012.98
13746,Mitchell Lawrence,Finance,58999.02
13747,Douglas Valdez,Finance,128786.06
13748,Arthur Cooper,Operations,122457.60
13749,Juan Stewart,Support,97508.78
13750,Jacob Jackson,Research,104228.74
13751,Robert Smith,IT,83168.78
13752,Melissa Becker,Support,46749.59
13753,David Cordova,Support,41919.53
13754,Melissa Greer,Research,122745.31
13755,Brandy Norris,Finance,118053.88
13756,Jason Hubbard,Research,128012.48
13757,Michael French,Research,70652.09
13758,Frances Hill,Sales,104861.57
13759,Jeremiah Cabrera,HR,34368.13
13760,Anita Hendricks,Research,36941.71
13761,Rhonda Griffin,Support,135750.88
13762,Dr. Shelby Taylor,HR,63285.18
13763,Lauren Joseph,Research,96844.49
13764,Robert Adams,IT,84845.51
13765,Natalie Stewart,Operations,105423.59
13766,Susan Ray,Sales,57413.86
13767,Sara Woods,IT,87209.24
13768,Louis Brown,Operations,77926.22
13769,Mary Rodriguez,Marketing,47642.72
13770,Ronald Lewis,Sales,130282.83
13771,Miranda Mayer,HR,49095.88
13772,Andrea Knapp,Sales,80215.22
13773,Patrick Brandt,HR,82724.50
13774,John Hanson,Sales,139291.32
13775,Pamela Rice,Operations,138141.83
13776,Martin Hall,Operations,34573.54
13777,Jerry Salinas,Operations,98073.87
13778,Laura Jones,HR,59429.89
13779,Erika Hendricks,Sales,81595.42
13780,Carrie Smith,Sales,93682.26
13781,Travis Buck,Research,130953.56
13782,Paul Pierce,Support,37121.70
13783,Renee Spence,Marketing,85042.80
13784,Suzanne Cohen,Marketing,55946.79
13785,Jeanne Conrad,Marketing,90775.60
13786,David Clark,Research,127952.02
13787,Christopher Harrell,Operations,36946.45
13788,Angela Morris,Support,111073.44
13789,Allen French,Finance,88874.77
13790,Jacqueline Bass,Finance,101751.31
13791,Jesse Wong,Marketing,124513.96
13792,Allison Turner,IT,98652.84
13793,Jennifer Hill,IT,145429.62
13794,Andrew Morgan,Marketing,67786.65
13795,David Smith,IT,39638.66
13796,Kevin Coleman,Operations,123213.16
13797,Brian Snyder,Operations,71393.00
13798,Deborah Parker,Marketing,113147.83
13799,Patrick Johnson,Sales,127383.48
13800,Cody Mora,Support,100061.82
13801,Anthony Maxwell,HR,35599.81
13802,Pamela Baker,Support,62774.84
13803,Greg Duran,Sales,47696.55
13804,Jesus Palmer,Sales,135031.82
13805,Robert Wilson,Support,142454.54
13806,Lucas Park,Sales,86222.59
13807,Kayla Mcdowell,HR,128955.16
13808,Oscar Thompson,Operations,94541.87
13809,Todd Mitchell,Sales,138091.27
13810,Dr. James Sims,Sales,92793.91
13811,Kimberly Barber,HR,71890.45
13812,David Flores,Research,60609.84
13813,Donna Brady,Research,80635.39
13814,Beth Garcia,Operations,100484.85
13815,Shannon Ray,Sales,83481.12
13816,Jeanette Norris,IT,33231.63
13817,Robert Clark,Operations,101784.52
13818,Wendy Hall,HR,57827.21
13819,Derek Ramirez,HR,131026.54
13820,John Summers,Research,56258.46
13821,Alexander Davis,Support,112070.66
13822,Lori Andrews,Research,118666.14
13823,Curtis Rogers,Support,52358.34
13824,Jeremy Wolf,IT,134918.70
13825,Gene Garcia,Research,90628.94
13826,Michael Conway,Research,78808.82
13827,Tiffany Cunningham,Research,79405.70
13828,Martin Kane,Research,88327.67
13829,Christopher Foster,Marketing,63015.87
13830,Christina Mann,HR,89428.42
13831,Erica Rowland MD,Finance,84323.28
13832,Robert Patterson II,Operations,102980.63
13833,Joseph Myers,Sales,30914.43
13834,Scott Owens,Sales,53275.26
13835,Michael Jackson,Operations,52774.39
13836,John Lee,Finance,138955.42
13837,Maria Mcknight,Sales,45725.60
13838,Jonathan Thompson,Marketing,90414.21
13839,Gregory Liu,IT,92074.06
13840,Rose Murphy,Finance,48133.80
13841,Alexis Simon,HR,85189.34
13842,Sharon Edwards,Operations,95475.07
13843,Timothy Williams,Research,40476.83
13844,Joshua Harvey,Operations,87866.05
13845,Patricia Thompson,Finance,61078.30
13846,Katrina Mcdowell,Sales,57398.37
13847,Scott Moreno,Operations,97622.11
13848,Kim Roberts,Support,46968.79
13849,Catherine Edwards,Marketing,136414.52
13850,Tammy Caldwell,Sales,32622.66
13851,Shannon Herrera,IT,85195.24
13852,Ronald Smith,Marketing,53242.36
13853,Dr. Jennifer Dodson,Research,40759.39
13854,Susan Dennis,Operations,76096.59
13855,Adrian Sanchez,HR,85874.28
13856,Danny Brown,HR,142174.65
13857,Michael King,Marketing,139129.62
13858,Emily Bryant,Operations,123858.83
13859,Debra Horton,Support,124986.75
13860,Katherine Rubio,Research,37924.42
13861,Michael Mckinney,Sales,97311.51
13862,Joshua Hudson,Marketing,135791.64
13863,George Glass,HR,129909.42
13864,Alex Beck,Operations,87614.76
13865,David Chandler,Operations,112270.61
13866,Tracey Evans,Operations,138705.91
13867,Mr. Clifford Turner,HR,134416.11
13868,Brandon Miller,IT,69353.38
13869,Nicole Brown,Operations,38079.16
13870,Jessica Garcia,Research,98938.08
13871,Kevin Jones,HR,59905.19
13872,Linda Clark,Sales,130416.32
13873,Karen Richardson,Marketing,148026.95
13874,Sara Tate,Finance,45929.20
13875,Tammy Schultz,Operations,74077.25
13876,Victor Orozco,Research,112917.66
13877,Nicholas Forbes,Finance,91093.44
13878,Pamela Austin,Operations,106569.34
13879,Jeffrey Lam,Operations,81830.25
13880,James Wallace,Operations,133879.73
13881,Tammy Wallace,Support,64475.77
13882,Tammy Graves,Research,63177.75
13883,Deborah Carpenter,Marketing,122832.21
13884,Catherine Adams,Support,96115.84
13885,Kelsey Wade,Operations,94815.46
13886,Susan Walker,Finance,83766.52
13887,Terry Hunt,Operations,31591.02
13888,Jacob James,Research,135904.56
13889,Alicia Acosta,Finance,37527.76
13890,Angela Ramirez,Marketing,64030.60
13891,Laura Thomas,Operations,149445.45
13892,Michael Fischer,HR,141957.23
13893,Mrs. Pamela Melendez DDS,Sales,40236.04
13894,James Jensen,HR,116935.26
13895,Christina Hill,HR,48426.33
13896,Jay Jones,Marketing,30924.78
13897,Steven Knox,Finance,117063.23
13898,Kenneth Thomas,Operations,73863.84
13899,Todd Schwartz,Marketing,123665.15
13900,Casey Castaneda,Research,120251.25
13901,Aimee Patterson,Sales,79806.01
13902,Christopher Hodge,HR,51845.50
13903,Kyle Hughes,Operations,46527.33
13904,Timothy Kelly,Sales,92146.83
13905,Amber Castro,IT,136101.64
13906,Steven Austin,Sales,104059.89
13907,Angela Bates,HR,63259.32
13908,Tracy Johnson,Marketing,100148.27
